label,tweet
love,"!rp hai ele. Maaf ya gua ga romantis. Gua cuma mau ungkapin perasaan gua. Kalo gua itu tertarik sama lu, gua sayang sama lu, gua Cinta sama lu. Gua mau serius dengan perasaan gua. Dah gausah panjang. Ele will you be mine [USERNAME] [URL]"
anger,"""Mka.a jgn ngatain org klu gmau dikatain...jaga tuh ocehanmu.. Giliran dikatain bla bla bla.."" dibaca tuh sapa yg ngatain"
joy,# CONGRATULATIONS # Mengucapkan selamat untuk ibu Dini Mildawati yang meraih New Silver Leader semoga semakin lancar & sukses bersama Paytren
joy,#Allhamdulilah Bertambah usia lagi jagoan kecil... Semoga sehat selalu dalam lindungan Allah SWT..... amiin..... Sehat terus nak..... uchi_ciyko zidanelhadadi @ Palu [URL]
sadness,"#Bali, tunggu koko lagi ya. Koko bakal balik lg dan tinggal lbh lama d sana. Balik Jkt bgt nih ceritanya? Hmm.. baiklah. #InstaBali #KangenBali"
fear,"#ct caratss, aku takut deh gaada temen pas masuk kuliah, soalnya tadi pas aku wawancara kayak yg lain itu udah sama temennya, aku coba nanya dan ngobrol tapi mereka nya gitu Aku harus gimana dong carats?:("
anger,"#curvanordpersija #curvasudpersija #rojali #asukabeh Kalian lemah,kalian bukan level kami jak. Ojok lali keset. [USERNAME] [USERNAME] [USERNAME] [URL]"
fear,#ERROR!
joy,#HappyJendeukieDay Happy birthday yang katanya mirip aku semoga makin cantik dan sayang eonnie yhaa! I laff yu
anger,"#ILCBPIP Betul Prof suteki. Klo memang perlu Bpip itu didirikan.. Masa orangnya yg gk paham pancasila "" akhirat itu ramalan Masa depan"".. ck ck.. politik balas Budi nihh.."
joy,"#MobileLegendsBangBangID Main di BRAWL langsung saja ""CHANG'E"" memimpin top kill dengan MVP sekaligus emang ini Hero GGWP, Hero baru di normal server ini top lah lebih top soalnya Hero Mage adalah role kesukaan saya selain Hero Tank. Sukanya di skill-2 nya itu loh.. Buff lagi deh [URL]"
joy,"#Muktamar18IMM kali ini agaknya merupakan Muktamar yg 'keren'. Muktamar yang 'sadar' jaman. Terlihat dengan pemaksimalan website dan media internet lainnya. Dari countdown acara, regustrasi peserta sampai pendaftaran Formatur. Keren!"
joy,"#OldMoneyGakNgerasain Ketika bocah memori 8MB itu sangat berharga. Dan nyimpeninnya savean GTA, God of War, Mortal Kombat dan kawan kawan [URL]"
joy,"#OldMoneyGakNgerasain main kocok sabun. Ambil gelas plastik, masukin air and sabun colek trus dikocok2 pake sikat gigi. Klo mau halus pake sabun mandi. Kocok terus sampe busanya banyak tp gk ngerti fungsinya apa. Wkwkl"
fear,"#OldMoneyGakNgerasain mau browsing aja harus pake paketan internet yang kuotanya 10 mb per hari dengan sinyal maksimum Edge, itu pun di hantui rasa khawatir kelewatan batas kuota nanti pulsa reguler takut kesedot."
joy,"#OldMoneyGakNgerasain minum aqua gelas, trus gelas plastiknya di selipin ke ban belakang sepeda pancal, biar pas jalan keluar bunyi kaya knalpot"
joy,"#OldMoneyGakNgerasain nongkrong depan rumah ama temen2, tiap ada motor lewat di teriakin woy standaar pas orangnya nengok kita sembunyi:))"
joy,"#OldMoneyGakNgerasain pas istirahat ga jajan , karena cuma pengen main bekel di depan kelas atau main benteng-bentengan di lapangan haha Btw i Miss about it"
joy,#OldMoneyGakNgerasain pasang rautan pensil yg ada cerminnya di sepatu buat ngintipin 'celana dalam' temen sekolah cewek
joy,#OldMoneyGaNgerasain itu mengingatkan masa kejayaan tahun 90an dan beruntung bisa ngerasain jadi anak pada jamannya. Semua tweet isi kekonyolan itu udah aku rasain juga.
joy,"#OldMoneyGaNgerasain kalo tlp pake hp paling lama 2 detik, krn sblm 2 detik msh gratis, setelah 2 detik baru kena pulsa. tut tut halooo dmn? (matiin tlp) tut tut (angkat tlp) drmh (matiin tlp) Trus aja begitu sampe eneg...."
joy,"#PacaranJamanDulu baru jadian langsung ganti status di Facebook ""berpacaran dengan..."", kalo putus langsung saat itu juga ganti status di Facebook ""Lajang"""
joy,"#PWBanget EMANG BEDA . . Viral curhatan Personal Assistant konglomerat Indonesia yg diposting di acoount twitter nya, asli baru kebuka deh pikiran kita tentang orang tajir yg ternyata ga sombong loh [URL]"
joy,#recehkantwiter Gue orang sunda yg males banget orangnya. Cocoknya tinggal di suatu negara dan bukan di Indonesia. Gue pindah aja ke negara Gua teh malas.
sadness,"#RIPKate Spade (55th) Baru aja ditemuin meninggal gantung diri di aptnya sm pembantunya. Pdhl suaminy (andy spade) jg ada di dlm apt saat itu Y Allah Bhkn se sukses kate aja bisa gini, ngingetin kita buat lbh bnyk bersyukur n menikmati hidup Fix nanti pake katespade to honor her"
joy,#SalamSaum #SobaTani Ekspor komoditas perkebunan kita naik 26.5 % dari Tahun 2016 sd 2017. Keren buat #PetaniKita
sadness,"#SaveViaVallen lagi marak. Hanya opini saja, saya malah support mbavia. Yang menyedihkan banyak yang anggap itu lelucon, makin aneh lagi banyak perempuan yang memojokkan mbavia, fanatisme yang tinggi membuat empati kehilangan tempat."
joy,#thanks to mpmhondajatim [USERNAME] [USERNAME] #halalbihalal #jatimotoblog #2018 di #blitar bisa terlaksana tanpa kurang satu apapun... #sugimasihada #blogger #rider #touring [URL]
sadness,#workshop di bulan Ramadhan. Semoga otak gue nyantol sm Permendikbud2 dkk. Kurtilas ih kurtilas. Ternyata seperti ini. [URL]
fear,"#ygl aku takut perasaan ini semakin mendalam jika kita terus bersama, terlebih semenjak aku tau ada hati lain yang menunggumu juga hyung. Aku semakin takut. [URL]"
joy,"(1) #Ramadan hai tweeps, lewat sini aku pengen cerita nih yah tentang ramadan yang penuh berkah. Ini kali pertama aku ramadan dengan situasi seperti ini dan sangat berkesan utk aku pribadi Sehari sebelum ramadan aku diajak jadi penyiar di studio Yayasan Masy Muslim Freeport Indo"
sadness,"(1) Kejadiannya baru banget tadi pulang nongkrong. Di stasiun manggarai jam 9an masih lumayan rame. Temen gw (cewek) pas lagi di tangga desak-desakan, pantatnya dipegang cowok. Dia ngadu ke gw."
joy,(2) awalnya kaget karena gak pny basic broadcast tp krn rasa ingin tau yg tinggi jadi deal nih apalagi salarynya Alhamdulillah utk sekelas penyiar. Hari kedua di studio sdh memasuki bulan #Ramadan dan totally lingkungannya syariah dan muslim banget. Awalnya maksain diri utk
joy,"(4) dan bersyukur bgt karena dipertemukan sm partner program yg diselenggarakan oleh LAZ YMM FI yaitu karantina hafiz quran, suasana iftar dan sahur yang menyenangkan dan pasti cerita seru selama karantina dan program radio. Mari kita bersyukur atas apa yang ada saat ini"
sadness,"(c.) jalan tol. Ia sungguh sedih mengingat kejadian-kejadian di kehidupannya. Tak kuat menahan sedih, dirinya mencoba mengakhiri hidupnya sambil menatap bayi Aurora yang tengah terlelap dan tersenyum. Tak kuasa melihat malaikat kecilnya yang begitu cantik mengurungkan niatnya (c"
sadness,"*Ngbrol masalah gaji* Atasan aing : waktu itu gmna sih ndre detail gajimu? Yg di jelasin pak **** Aing: gatau pak, saya nanyain gaji aja malah di marahin Atasan aing:....... Aing:......... SAVAGE *langsung ada backsound mobile legend"
love,*rumah kotor* *12 jam tanpa ibuk d rumah* *terus mikir* OHH INI YANG DIRASAIN MAMAK KALO RUMAH BERANTAKAN? I SHOULD GIVE HER A BIG THANK FOR MAKE ME COMFORT AT BEAUTIFUL HOME.
