label;tweet
anger;Ada seekor kucing di jalan, ia telah ditabrak dan kepalanya terbuka, kami lewat di sampingnya
anger;adalah suara seperti biasa sempurna tetapi seperti Anda tahu suara yomi dapat melakukan lebih baik dan Anda agak merasa frustrasi karena lagu ini bukan yang terbaik dan tidak menonjolkan suara yomi dengan benar
anger;Aku adalah temanmu, lalu mengapa aku kadang-kadang merasa sangat terhina di sekitarmu
anger;Aku akan menerima hadiahmu tanpa merasa marah
anger;Aku bahkan bisa memikirkannya, aku berkata, uh, yah, hampir setiap hari, aku merasa seperti aku disiksa, aku ingin menarik semua rambutku keluar dan berteriak, jadi kurasa tidak
anger;Aku bahkan bisa merasakan napas dinginnya di leherku, bisik Hertha saat dia menggerakkan jari-jarinya di sisi leher
anger;Aku bahkan tidak merasa rewel tentang hal itu
anger;Aku bahkan tidak punya waktu untuk merasa cemburu aku begitu sibuk menyematkan foto-fotonya dan menuliskan href http nanashi
anger;Aku bahkan tidak tahu semua yang aku tahu adalah bahwa aku merasa seperti aku sedang kacau dari belakang
anger;Aku benar-benar bisa merasakan tatapan penuh kebencian yang diarahkan padaku
anger;Aku benci bahwa aku menyakitinya dengan perasaanku Aku benci bahwa aku berkencan dengan seseorang yang tidak aku cintai Aku benci bahwa aku berpura-pura berbohong kepada seorang teman Aku benar-benar yakin
anger;Aku benci berbicara tentang hadiah karena aku merasa serakah
anger;Aku benci merasa begitu kacau sepanjang waktu karena ini
anger;Aku benci merasa seperti ini saya selalu marah tanpa alasan merasa kesepian
anger;Aku benci perasaan cus yang benar-benar menyebalkan ingin seseorang putus dengan pacar mereka sehingga mereka akan bersamamu
anger;Aku benci sedikit membayangkan jika sekretaris merasa kesal hari itu eh
anger;Aku berhenti merasa sangat marah aku akan berhenti berperilaku seperti ini
anger;Aku berpikir untuk pergi makan malam tapi aku merasa seperti aku mungkin tidak terganggu juga
anger;Aku bertanya-tanya bagaimana perasaan mereka jika seseorang berteriak pada mereka dan kemudian mengatakan hal-hal yang sangat kasar di belakang mereka nanti
anger;Aku bilang baiklah kita bisa tapi aku merasa serakah dengan waktumu
anger;Aku bisa berhenti merasa cemburu
anger;Aku bisa melangkah lebih jauh tetapi aku merasa sudah cukup menyiksamu untuk satu hari
anger;Aku bisa memberikannya tapi aku merasa serakah saat ini
anger;Aku bisa mengikuti setiap kedutan pikiran dan gelombang perasaan bergetar melalui ekspresinya yang tersiksa
anger;Aku bisa menjadi baik seperti malaikat tapi kadang-kadang aku juga bisa menjadi jahat seperti Iblis Aku biasa menggunakan kata-kata kasar ketika aku merasa jengkel
anger;Aku bisa merasakan angin dingin
anger;Aku bisa merasakan darah di pembuluh darahku menjadi dingin
anger;Aku bisa merasakan dia masih marah padaku
anger;Aku bisa merasakan dinginnya mussaya dingin
anger;Aku bisa merasakan kakiku gelisah begitu sampai di Paviliun Metropolitan
anger;Aku bisa merasakan mata iri dan tatapan kebencian dari para wanita yang mengira mereka ada di tempatku saat ini
anger;Aku bisa merasakan puisi emo yang tersiksa sudah datang
anger;aku butuh beberapa untuk memelukku untuk memelukku seperti mereka mencintaiku benar-benar mencintaiku untuk berada di sana dengan tenang untuk hanya duduk di sana hanya untuk menghentikan aku melakukan sesuatu yang bodoh itu tidak bisa menjadi orang tuaku karena aku tahu id hanya lari aku tidak bisa lari dari orang lain aku merasa kasar
anger;Aku cemburu pada perut Andreas yang tumbuh dan gerakan yang sudah bisa dia rasakan, aku iri dengan keadaannya
anger;aku hanya akan tidur merasa kesal psssh
anger;Aku hanya berharap aku tidak merasa teman sekamarku membenciku separuh waktu
anger;Aku hanya bisa menahan perasaan sedikit pahit terhadap seringai bahagianya yang besar
anger;Aku hanya ingin yang terbaik untuk anak itu, mungkin aku benar-benar bisa berhenti merasa seperti perempuan jalang yang tidak berperasaan
anger;Aku hanya merasa kedinginan, kata Rachel
anger;Aku hanya merasa sangat kacau akhir-akhir ini
anger;Aku hanya merasa sangat kacau saat ini
anger;Aku hanya perlu mengungkapkan perasaanku dengan buruk, abaikan ini jika aku menyinggungmu
anger;Aku hanya tidak bisa menghilangkan perasaan bahwa dia ditinggalkan entah bagaimana dan aku agak benci bahwa aku telah melakukan ini padanya
anger;Aku hanya tidak ingin mengambil sikapnya yang menyebalkan
anger;Aku harus mendorong kembali ekspresi tertekan dari seorang anak dari pernikahan yang berpisah dan berkata pada diriku sendiri tidak, kamu memiliki kesempatanmu sudah terlambat sekarang untuk merasa marah dengan situasimu, tetapi yang ingin aku lakukan hanyalah berteriak di bagian atas paru-paruku, persetan denganmu, ini bukan masalahku, jadi jangan membuatnya seperti itu
anger;Aku harus mengatakan itu memberinya perasaan kecil yang manis sedang disetubuhi
anger;Aku harus meninggalkan rambutku sendiri sekarang jika aku merasa tidak sabar
anger;Aku juga merasa agak kesal pagi ini karena aku tidak sengaja tidur tadi malam
anger;Aku juga merasa seperti terlalu mudah tersinggung hari ini
anger;Aku masih merasa seperti itu karena aku keras kepala seperti itu tetapi orang-orang yang keluar adalah orang-orang dengan kencan sekarang
anger;Aku melakukan betapa kosongnya kecewa, marah, sedih, kacau, destruktif, aku merasa hari ini aku hanya marah pada diriku sendiri, mengapa aku selalu kacau, sial
anger;Aku melangkah sedikit merasa pemarah karena aku kehilangan
anger;"Aku melirik ke luar jendela pada orang-orang yang berjalan di trotoar tanpa riang, tiba-tiba merasa iri pada mereka karena alasan yang tidak bisa aku jelaskan;"
anger;Aku memang merasa hubungan mereka tampak sedikit terburu-buru
anger;Aku memejamkan mata karena marah dan merasa jijik dengan sentuhan ini
anger;Aku memimpikan Jeannie, aku masih bisa merasakan cengkeraman tangannya yang keras di pundakku
anger;Aku menarik napas dalam-dalam beberapa kali, merasakan udara dingin membakar jalannya ke paru-paruku dan menghembuskan awan uap kecil
anger;Aku menatapnya dan berkata dengan baik dan ramah yah aku minta maaf kamu merasa seperti itu aku minta maaf padamu ini membuatnya lebih marah dan dia menyerbu keluar mengatakan aku tidak butuh omong kosong ini bukan malam yang baik secara keseluruhan tapi aku pergi sampai Jumat untungnya
anger;Aku mengatakan menekan tubuhnya terhadap Siwon dan mendekatkan wajah mereka sehingga dia bisa merasakan napas gelisah Siwon
anger;Aku menggeram padanya, aku mulai merasa sangat kesal dengannya
anger;Aku menyakiti perasaanmu atau membuatmu marah dengan kata-kata kasar terakhirku saya sorry
anger;Aku menyesap lama dan merasakan sensasi dingin dari es capp
anger;Aku menyikatnya ke samping atau menyelipkannya di belakang telingaku hanya untuk merasakan beberapa helai pemberontak melarikan diri dan menggelitik pipi dan bibirku, aku menyadari aku bukan orang yang memegang kendali
anger;Aku merasa aku harus membuat yang penuh kebencian terlalu bodoh untuk membuat koneksi yang diasumsikan yang tidak membenci diri mereka sendiri
anger;Aku merasa bahwa kalian semua sedikit terkejut tentang hal itu
anger;Aku merasa bahwa orang di ujung sana membenciku
anger;Aku merasa begitu kacau di kepalaku
anger;Aku merasa benci pada diriku sendiri karena sendirian
anger;"Aku merasa dia benci bahwa aku tidak akan mengakuinya, biarkan masuk, aku tahu aku membenci setiap rintangan yang menjauhkannya darinya, setiap blok timah yang terus ditempatkan di jalan kami yang dulu jelas satu sama lain; lengan"
anger;Aku merasa dia pahit terhadap orang-orang yang berada di kelas atas hanya karena mereka berada di kelas atas
anger;Aku merasa egois atas pilihan yang aku buat, aku hanya memohon agar kamu tidak membiarkan cintamu padaku pergi
anger;Aku merasa frustrasi, kesepian, atau mengalami kesulitan, aku memikirkan elf dan mendapatkan kembali kekuatanku, mari kita habiskan bersama, kalian dan anggota lainnya pasti
anger;Aku merasa hati kita menginjak wilayah berbahaya
anger;Aku merasa ingin memukul wajah mereka dengan tinjuku karena mereka menjengkelkan
anger;Aku merasa iri pada semua orang yang memiliki kesempatan untuk bertemu denganmu setiap hari
anger;Aku merasa itu sebabnya dia tiba-tiba marah pada ibu
anger;Aku merasa kesal dan melamun tentang berbagai tempat yang bisa kukatakan padanya untuk mendorong celana dalam gadis besar itu
anger;Aku merasa marah pada diriku sendiri karena begitu menyedihkan marah padanya karena berbagai alasan
anger;Aku merasa mengapa aku membayar untuk menjadi begitu kacau
anger;Aku merasa menjengkelkan karena mengatakan itu
anger;Aku merasa mimpiku begitu egois
anger;Aku merasa picik dan jahat tidak emosional ketika aku bersamanya
anger;Aku merasa sangat iri dan bangga padamu pada saat yang sama jika mungkin untuk merasa seperti itu
anger;Aku merasa sangat kacau akhir-akhir ini
anger;Aku merasa sangat kacau seperti sehari-hari dalam hidupku
anger;Aku merasa sangat kesal sehingga aku bisa menggigit batang pohon sialan
anger;Aku merasa sangat kesal sehingga aku ingin berteriak dan berteriak di dinding yang menghadapku sekarang
anger;Aku merasa sangat memberontak semua aturan dan itu sangat teratur seperti jika kelas dimulai saat mereka mengambil gulungan
anger;Aku merasa sangat menyebalkan berbicara tentang diriku seperti ini, ahaha, aku terdengar kurang terbelakang menceritakan kisah ini secara pribadi, aku bersumpah dan berkata jika aku laki-laki aku akan jatuh cinta padamu
anger;Aku merasa sedikit lebih ringan dalam semangat sekarang karena aku tahu bahwa baik dia maupun Warrick tidak membenciku karena kenaifan dan kebodohanku yang luar biasa
anger;Aku merasa segala sesuatu di sekitarku kacau, semua orang di sekitarku hancur berkeping-keping
anger;Aku merasa seharusnya aku tidak repot-repot
anger;Aku merasa semuanya begitu kacau
anger;Aku merasa seperti aku bisa mempercayai mereka meskipun melihat bagaimana mereka bisa mengerti bagaimana wanita lain bisa menyebalkan dan tak satu pun dari kami ingin berurusan dengan omong kosong itu
anger;Aku merasa seperti aku egois
anger;Aku merasa seperti aku harus bergantung sepenuhnya pada firman Tuhan namun aku tidak sabar untuk menunggu
anger;Aku merasa seperti aku harus peduli bahwa aku sedikit tidak berperasaan untuk tidak
anger;aku merasa seperti aku harus tersinggung tapi yawwwn
anger;Aku merasa seperti aku si pembenci gila daripada Alice
anger;Aku merasa seperti benar-benar rewel di sekolah akhir-akhir ini
anger;Aku merasa seperti benda keji ini merenung menggerogoti roh lebih dalam
anger;Aku merasa seperti idiot egois yang menyebalkan
anger;Aku merasa seperti saya dalam angin puyuh dan saya berikutnya mencoba untuk tidak terlalu tidak sabar saat aku menunggu
anger;Aku merasa seperti jika orang melihat celah di baju besiku, mereka akan memutuskan bahwa aku adalah orang yang kacau ini, memecatku sebagai kekacauan panas dan tidak ingin berada di dekatku lagi
anger;Aku merasa seperti orang tua yang rewel mengatakan ini tapi begitulah
anger;Aku merasa seperti orang yang tidak berperasaan karena sangat membencinya
anger;Aku merasa seperti pengkhianat keji bahkan mengatakan hal seperti itu tetapi itu adalah kebenaran
anger;Aku merasa seperti sedang bercinta
anger;Aku merasa seperti serakah dan aku membencinya
anger;Aku merasa terhina karena semua orang membandingkan Sneha dengannya
anger;Aku merasakan angin dingin itu
anger;Aku merasakan dan membawanya dan datang melawan orang biadab, boneka lilin di awan bertiup ke tak perasaanku sendiri bahwa menjadi kaki telanjang adalah mereka bergerak cepat ketika aku membawanya seperti yang aku cintai pada suatu waktu karena dia namun aku membuatnya
anger;Aku merasakan denyut nadimu menempel di bibirku saat aku mengejar naga itu mengisap bibirmu dan apakah hatimu dan lidahmu berharap memohon bagianku dan jari-jarimu menerjemahkan kesedihanmu saat kau mencapai ke dalam jiwaku marah dalam nafas belas kasihanku cerita tidak akan terungkap
anger;Aku merasakan sengatan rasa sakit dari giginya tapi aku marah
anger;Aku merasakan suara rewel di dalam kepalaku yang hanya ingin makan apa pun yang diinginkannya
