Label;Tweet
happy;Mau gudeg mbak Bu hj. Amad Foto dari google, sengaja, biar teman-teman jg membayangkannya. Berbagi itu indah.
happy;Sharing pengalaman aja, kemarin jam 18.00 batalin tiket di stasiun, lancar, antrian tidak terlalu rame,15 menitan dan beres semua! Mungkin bisa dicoba di jam-jam segitu [USERNAME]
happy;Bener bener ketawa ga habis habis gue Inget aja lomba balap karung balap kelereng balap makan kerupuk balap tusuk balon Hrus di puter puter  [URL]
happy;H-9. Mau ke bank rame bgt ampe antrian tempat duduknya ada diluar. Toko emas ampe ga keliatan mbaknya yg jualan. Ke swalayan antrian kasir naudzubilah panjang bener. Pada bahagia semua kayaknya. Semoga oh semoga RS sepi, pasien pada sembuh dan pulang utk berbahagia 
happy;Ketika aku tersenyum bukan berarti hidupku sempurna.. aku hanya mensyukuri apa yang aku punya dan apa yg telah Tuhan berikan untuk ku
happy;Hmmm ya mungkin seneng kalo dikasih kado, tapi kalo buatku dia inget aja tanggal lahirku atau anniv wes bahagia rasanya.  #pekaitupenting
happy;JNE/JNT selama saya pake entah kirim paket/beli olshop jastip dari luar kota sampe beda pulau maksimal 3 hari sampe mau itu dia pake mobil susah cari alamat bingung gabisa masuk kompleks/gang meski malem sekalipun dibelain jalan ke rumah sampe paketan terkirim dgn baik.
happy;Kalau tau ada libur panjang - selain lebaran - tuh rasanya pengen cepet gendong karir pake sepatu trus pergi, ketemu alam dan berdamai dengannya,
happy;btw doa restu orang tua itu emang gila ya... pas udah mentok nyari literatur tambahan, nemu aja dong di RUMAH. padahal dari kemarin udah panik kudu mesen dari banyumas  apakah ini berkah ramadhan [URL]
happy;"Paling excited kalo ngobrol sama orang kreatif, siap saja kalo bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu: ""Oh iya, kenapa aku baru kepikiran?""  "
happy;Pada akhirnya kita akan melewati semua ini, semua yang dulu kita bayangkan betapa sulitnya. Kita lalui juga. Di akhir kita hanya bisa belajar, belajar, dan belajar. Memetik semua hikmah yang bisa kita petik. Mempersiapkan untuk masa depan yang cerah dan indah.
happy;Dari zaman SD juga temenku cowok nih salah satunya yang dulu suka main sampe desa sebelah yang di seberang kali wkwk dan suka bikin prakarya padahal berantakin rumah dan sampe jualan lotre yak dulu pen ngakak kalau inget ini [USERNAME]
happy;Alhamdulillah Prof, setelah berbicara semalam di [USERNAME] adem rasanya, semoga membawa keberkahan. Aamiin Yaa Rabbal 'Aalamiin.
happy;Keren!! Kira-kira masih ada nggak yg bilang Pak [USERNAME] anti-islam? 3,5 triliun, 142 hektar, jadi kampus rujukan Islam dunia sekelas Al-Azhar. Belum lagi proyek Ponpes, madrasah, Masjid dan fasilitas umat lain. Kl ada yg masih bilang Beliau an
